"imputation","analysis","n","limited","colectomy","RD_pp","CSM_limited_pct","CSM_colectomy_pct","max_abs_weighted_SMD","ESS_limited","ESS_colectomy"
9,"risk_lt_5pct",591,331,260,1.29080016856097,5.61543508704948,6.90623525561044,0.0144980066987436,307.486814558293,252.092813466905
10,"Q1",1391,730,661,-1.65515039871533,6.97982576495483,5.3246753662395,0.0157622382296931,691.215514890745,643.753125459961
10,"Q2",1390,642,748,-1.55916051866549,10.5616998431502,9.00253932448472,0.00182206719049022,583.176734853028,686.246569027173
10,"Q3",1390,536,854,-1.23928637581669,14.8994356206552,13.6601492448385,0.00211361692249803,517.894171131255,796.968669453578
10,"Q4",1390,520,870,-1.21135089211258,22.1021376579352,20.8907867658226,0.00465928429711457,507.517201561703,826.561860271315
10,"Q5",1390,449,941,-7.6202783146449,40.5054341378766,32.8851558232317,0.000371573957502902,440.328146091689,880.864391388831
10,"bottom_decile",696,388,308,1.55302695664696,4.44804512514085,6.00107208178781,0.00109036553524056,357.834773795268,297.780862809026
10,"risk_lt_5pct",640,358,282,1.74924071176224,4.79268040329461,6.54192111505685,0.000702186374752191,331.784988090872,273.019976960657
11,"Q1",1391,722,669,-1.58297889092213,6.78224957076998,5.19927067984785,0.00297906997523814,682.8468246685,649.761888223474
11,"Q2",1390,624,766,-2.8821881906147,10.5846657935607,7.70247760294601,0.00317530462410869,578.597960729774,712.034296003176
11,"Q3",1390,580,810,0.0926899346849863,14.9010024557549,14.9936923904399,0.00287437807336214,549.17425565819,748.435729182156
11,"Q4",1390,493,897,-4.05423473833733,23.6608231607435,19.6065884224062,0.00202684818338414,482.326677488753,851.075487226827
11,"Q5",1390,458,932,-5.934213844748,39.3336753909263,33.3994615461784,0.000142230725639533,449.131068300389,873.383296192591
11,"bottom_decile",696,386,310,1.08888509748499,4.05757348663604,5.14645858412103,0.00821760016072157,353.490576225801,300.230234568954
11,"risk_lt_5pct",590,328,262,0.867929856820687,4.64508732696913,5.51301718378982,0.00363909392825805,296.056535048835,250.844010110458
12,"Q1",1391,717,674,-2.03653489088818,7.74403050207061,5.70749561118243,0.00491075373467848,680.26410969899,649.886324620001
12,"Q2",1390,656,734,-1.62982590046842,10.443636008461,8.81381010799258,0.00328204528851997,608.12397342011,691.256514591923
12,"Q3",1390,545,845,-0.764735750830661,14.2827403568218,13.5180046059912,0.001160934759456,521.524574269026,783.6815382356
