"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct","overall"
149,-0.0201091810731133,-0.0554474695920549,0.0205437425834284,-0.0503012950727295,-0.0230160151187654,-0.0088801449261792,-0.013861460478712,-0.0275342650566034
150,0.0167504672542132,-0.0539264660728557,-0.0555332484861688,-0.0775808908264373,-0.069635287712908,0.0321564448007148,0.0299041274100776,-0.0427107448923715
151,-0.00304748144565589,-0.0459224736782364,-0.00797122397110822,-0.038902404423635,-0.0270399528427756,0.0194700415071135,0.0327137899404596,-0.0215065584068382
152,-0.00938189578288706,-0.0223820803568274,-0.00717328767339387,-0.0610839759433012,-0.0675262517083003,-0.00517613976786143,-0.00286826203001784,-0.0314274012957897
153,0.038157400214418,-0.0296050869429412,-0.00399606452343024,0.00429221425706772,-0.0760093411081211,0.0388685147371302,0.0234083172688053,-0.0103298578344955
154,-0.0183018629115187,-0.0411081840656987,0.0320286901141812,-0.0256834451504333,-0.089114240865017,-0.0208481938821129,-0.0179182463225143,-0.0279601828329564
155,0.011943462012097,-0.0340456001037412,0.012396308654068,-0.0453418672475113,-0.125996106410723,0.0457403990978442,0.0441252531478097,-0.0370566000414949
156,0.0110913910071003,0.0345759211853386,-0.0711443683491434,0.00579729825978351,-0.0627416016207519,0.0776804358625036,0.106862526940691,-0.0126329515068563
157,-0.0111805358667461,-0.00223386975550488,-0.067721492613923,-0.0361371606892534,-0.0513426164174365,0.0216240770187796,0.0329509437302773,-0.033556656617014
158,-0.00523870877614654,0.0180444679151703,0.00387208617335749,0.00515054880267005,-0.0181358099084931,0.0665880844226869,0.0697917175772965,0.00137417955876248
159,-0.00194961913955728,-0.0492067214941964,-0.0234877327538399,-0.00364350512946718,-0.137123785593267,0.0190124665888231,0.0150882995116513,-0.0400596053362993
