"replicate","nonmucinous_low","nonmucinous_high","mucinous_low","mucinous_high","GCA_low","GCA_high","SRCC_low","SRCC_high"
162,-0.0707065055122503,-0.0832756037638066,-0.0155017582299865,-0.0983636186154754,-0.0113559978969827,0.087765287696903,NA,-0.0053314920746787
163,-0.0944566485215049,-0.0809945069361971,-0.0488446026856103,-0.0831857635425002,-0.0213716490574339,-0.00700097867470575,NA,-0.081464855664883
164,-0.0402356363827294,-0.0829816958089407,-0.0654737217374074,-0.047427539269293,0.0031119809792154,0.0772609603521473,NA,0.0524821219099069
165,-0.0217712442765734,-0.065678051257485,-0.0347872123717927,-0.0190803595714794,-0.00832629511739424,-0.056273035281524,NA,0.0635994711694855
166,-0.0271550796351184,-0.083431046656556,-0.0348037738249431,-0.00514211477892065,-0.0212439849565135,0.0451797897342998,NA,-0.0362784916666796
167,-0.0993141362628869,-0.0886513958535398,0.019602124259424,-0.0531461780254913,-0.0230566434388883,-0.00805196857321083,NA,0.0648705602182967
168,-0.00413139986318145,-0.013542143384409,-0.0513588906345348,0.0328466203702331,-0.0275084616061352,-0.00245799518303436,NA,0.0389883390158649
169,-0.0340863136550322,-0.0902533221418488,-0.0324033611406702,-0.0467224842059366,0.0154354168570877,0.00677040039661111,NA,0.0673571213115536
170,-0.0557004131032687,-0.07992738284447,-0.0288896344733611,-0.0604631176201114,-0.0221121303425739,0.0812649137982764,NA,0.0638853473014004
171,-0.00736710362664499,-0.0922241084991123,-0.0680349017844746,-0.0177202085823484,-0.0192389344231652,0.0481800438248108,NA,0.18784533813255
172,0.0112648519208547,-0.07677474809716,0.0343479186882603,-0.0836391140203458,0.000614935037445585,0.0419718423454056,NA,0.154233209241519
173,-0.064173669200103,-0.0337133952312738,0.0223129386640197,-0.0716188878779935,-0.0139464221955349,-0.0431466451795866,NA,-0.112898840554305
174,-0.0510532693184003,-0.0452224195535557,-0.0197426699493878,0.0112448120910246,-0.0311786337639172,-0.044146622211929,NA,0.0246127223005322
175,-0.014077209153167,-0.0772873024921732,-0.064306244276868,0.00921000647140846,-0.00506790167087433,0.0479442298855102,NA,-0.000493007831690817
176,-0.0513922164336491,-0.0601805590175584,-0.0145280253919639,0.00393997367874355,-0.00223878564103662,-0.0375418698217794,NA,0.0452873720449997
177,-0.0305232713160029,-0.134208160743896,-0.0398113610364742,-0.0232283996895267,-0.0363696695110582,0.0101213035318952,NA,-0.023939267414957
178,-0.0935715464393539,-0.0618839263453808,-0.0202123299221024,-0.0602424612982872,0.0259829496611044,-0.00741439811717987,NA,0.0281570489134372
179,-0.018195066525657,-0.103135059707291,-0.0456487897836877,-0.0144001599844944,-0.0421704837119739,0.0362956461775746,NA,0.0690476321761519
180,-0.0511447667615829,-0.07809515491304,0.0203621753513523,-0.0508868734846077,-0.00891064640921883,0.0180951847264113,NA,-0.0185845938238078
181,-0.00471594082414062,-0.0643144273898277,-0.0385238027094099,-0.00545284265796769,-0.00886521921435723,-0.0398861127015004,NA,0.0431392010096189
182,0.0108814275261753,-0.0715979310235664,-0.0221122773965391,-0.0543394161458845,-0.0309802633932362,0.00274908332139423,NA,0.0867012620311645
183,0.000135936327781583,-0.123384601963369,0.0062374039485945,-0.0944166046291744,0.005711204566042,0.0628705988176591,NA,0.0108468708406965
184,0.0308001778716524,-0.0821411308448515,-0.000292824673890343,0.0294252352533338,-0.0186324591453182,-0.00630744790746571,NA,0.164414710017775
185,-0.0623891612399054,-0.0857387751601,-0.00954033580615199,-0.139260764086481,-0.0220208412346605,0.0222094270003863,NA,0.11718704707583
186,-0.0433155547861736,-0.107542615147786,-0.0315228226586447,-0.037333202899007,-0.00550131916607789,-0.0369769874366578,NA,0.0640191138836585
187,-0.0604328765376853,-0.0718155891559876,0.00625464938927468,-0.00517884437925378,-0.0260009711995657,-0.00655663539871223,NA,-0.0864343233487552
188,-0.0868990842270371,-0.0903074754366584,0.0338008700871014,-0.0598309140284094,-0.00444422121484877,0.0222120018530445,NA,0.0436637378325169
189,-0.0488364466093612,-0.0659338199796504,-0.0222068651580552,-0.0144596315763893,-0.0218695356233811,0.0560777371146327,NA,-0.0795866806044412
190,-0.0343241364656314,-0.109109690343031,-0.0231008883335476,-0.0280785035341595,-0.0149407567604432,0.0870568279419111,NA,0.0405107754272815
191,-0.068175224986176,-0.0975107896827977,-0.0313171776155539,-0.0310917528479903,0.00297465639530026,0.0134624145977713,NA,0.0970299274025493
192,-0.043554958064373,-0.0743879938981751,-0.0245211018271438,-0.0304170139439894,-0.0143193311419676,0.049698308178715,NA,-0.0482731140337614
