"replicate","cancer_Q1","cancer_Q2","cancer_Q3","cancer_Q4","cancer_Q5","cancer_bottom_decile","cancer_risk_lt_5pct","other_Q1","other_Q2","other_Q3","other_Q4","other_Q5","other_bottom_decile","other_risk_lt_5pct"
51,-0.00118609378164372,-0.0424422381684961,0.001212109206984,-0.0284641071817652,-0.00867684436238203,0.0352037345189631,0.0283178947862723,-0.0522350398450559,-0.0313310884964344,-0.0333331329197791,-0.0317755555182461,0.0082884202521276,-0.0582230070465682,-0.038442939894102
52,-0.0100621732440828,-0.00398766609874492,-0.0453427650600638,-0.0465136148805104,-0.0230523524976065,-0.0263009752042963,0.00955063065355964,-0.00439067496922238,-0.0443435644677109,-0.0565364987154307,-0.0690468673943328,-0.00938587167132986,-0.00552026890663518,-0.00443947543481994
53,-0.0156429539061907,-0.0581898056897308,-0.0088849061427006,0.0227964380062474,-0.039822700756833,0.00114935539057348,0.0151799414322747,-0.0246985051261742,-0.0258402329881239,-0.047279991787863,-0.103919078840388,0.000563609778091903,0.00940121421688106,0.0109641118565098
54,0.0174762660350211,0.00252010323224761,-0.0321951728888508,-0.0167166257394132,0.0220417676019573,0.0122324085936884,0.0214713988273075,-0.047563110433163,-0.0197979283688166,-0.036766793927527,-0.0509658700321361,-0.00893937178492075,-0.0198366358989788,-0.0311283168740486
55,-0.022774888439411,0.00421506897281375,0.0140634532748744,-0.00953452577208724,-0.0304566286486699,0.0365407693202274,0.0250034830131002,-0.0384694854309021,-0.019674957345017,-0.0452979707131796,-0.062471204482016,-0.0498667784012851,-0.0308876883635194,-0.0312529750807874
56,-0.0117824028355591,-0.0269106878754959,-0.0224858004571077,-0.0147846872591654,-0.0237212792583198,0.00683487092176005,0.0142652892943888,-0.0597138457887501,-0.0147482896351295,-0.05448757974228,-0.0101266219519496,-0.0118606190659333,-0.0446239125387889,-0.0374860317887019
57,0.014925801168885,0.00556688288185651,-0.0226855713195474,0.011045501957293,-0.0988801061753989,0.0465206784422229,0.0493342253461167,-0.0172047850447606,-0.0668595924136277,-0.050822363085709,-0.0240801703846491,-0.010324024240629,-0.0196595744280089,-0.0108827528590627
58,-0.00908657273055395,-0.0303367352148356,0.0279143583645451,-0.0714141752947081,-0.0275799787316851,0.037171752244653,0.0644642912432838,-0.023092948928208,-0.0350498583300504,-0.00359584448736366,-0.0285178675012367,-0.00937322729671887,-0.0286891720396798,-0.0253952407440108
59,-0.0198984396627694,-0.045690154470069,0.0130989145006142,-0.00909790293894525,-0.0218760928917158,-0.0207079582607152,-0.0177799696499249,-0.0404123245215872,-0.0187459546520414,-0.00180094764335584,-0.023460635143097,-0.00103559633749235,-0.0121659038290331,-0.0108015035669114
60,-0.0153703997938366,-0.00033052408957561,-0.00343514450395219,-0.0674664074197739,-0.0443346038685205,0.00479806607840812,-0.00490462056244056,-0.0610636939897461,-0.0605837282005356,-0.0663526674645589,-0.0242011004299715,0.0160827700095872,-0.0756282585894296,-0.0636121137277492
61,0.000415163556494721,-0.04535130468237,-0.0452284257886747,-0.00527542800731076,-0.0361645396568339,0.00513299156538349,0.00955397479988941,-0.0689031835788421,-0.0655524252431671,-0.0503756443552167,-0.0403805257273653,-0.0271097438643247,-0.111040473407422,-0.0690258268625162
62,0.0136854255464747,-0.00574833276842009,-0.0261528955107891,-0.038349732836873,-0.0682567319423014,0.00825500098144216,0.0330837886913752,-0.00319328789777498,-0.0446725875708357,-0.0499748902193912,-0.0337709825772562,-0.00864307304901017,-0.00732024952964144,-0.0158327815879322
