"replicate","RD_3pct","RD_4pct","RD_5pct","RD_7pct","RD_10pct","RD_14pct","RD_20pct","RD_28pct","RD_40pct","RD_50pct","RD_P10","RD_P90","interaction_1","interaction_2","interaction_3"
52,0.0141686776576908,0.00430204155119693,-0.00346315197987746,-0.015891113578542,-0.0308108843029791,-0.0471929255962461,-0.0612109292711879,-0.0594964741551382,-0.0403312783419568,-0.0235314097287183,-0.00448529037555464,-0.0328089298956297,-0.073002403636471,-0.0768851869975721,-0.00793208699941801
53,0.00351243617822985,0.00396872900117961,0.00398601227329115,0.00267810071607717,-0.00156679844426407,-0.00914850306707644,-0.0185197828979405,-0.0247413343545322,-0.027997818205501,-0.0291122995337279,0.00403793641516131,-0.0285391054540991,-0.0361926253265775,-0.0262445704441655,-0.034266179182929
54,0.0860649674347004,0.0516914672723906,0.0250570923986243,-0.0117124312528077,-0.0359526013467762,-0.0337566229088444,-0.0060398726605202,0.00397982671497142,-0.0237690313612228,-0.0513561252570898,-0.000647517357172611,-0.0301071184961334,0.0160523967045964,-0.192219298055565,-0.0348528694424504
55,0.0465469932518471,0.0227200722220933,0.00609249459103039,-0.0139108005086279,-0.025610856742092,-0.026551173406881,-0.0299533624614017,-0.0508309998840427,-0.0901330343290037,-0.119386908359606,0.0227701574476671,-0.100225545817521,-0.0146883064779953,-0.180777607633544,-0.111945139487137
56,-0.00553885560540165,-0.0157940152114605,-0.0233078450056936,-0.0319739560145011,-0.0347853895713529,-0.0300473030486507,-0.0223449193855365,-0.0174715693683128,-0.0147795276254112,-0.0137551018846151,-0.0212176257074137,-0.0145164790615928,0.00900982542419516,-0.0260253181996444,0.0176034105232918
57,-0.00993050088159604,-0.0191297995882499,-0.0257289140489346,-0.0326296229225856,-0.0327531661280088,-0.0236647056176566,-0.0138381978103869,-0.018984853109811,-0.0398286405857347,-0.0568455250442185,-0.0252406865570203,-0.0435961621080221,0.0264609886309852,-0.0408917989181338,-0.0268013009831713
58,-0.0275141529458065,-0.0409268720292037,-0.0490922349802365,-0.0563411732281347,-0.0554378053042921,-0.0456866360920878,-0.0335229912951883,-0.0297831288794018,-0.0354553240383858,-0.0417326248220973,-0.0267030583865349,-0.0385444237052511,0.0399441615357541,-0.0383113019624615,0.0165964940663493
59,0.0116578277957407,-0.0103486488872144,-0.0265649083703566,-0.047291045914305,-0.061055708441894,-0.0628090442134977,-0.0536278859146791,-0.0442542834710525,-0.0392502287109238,-0.0375870916644753,-0.0276524188854273,-0.0383037758631714,-0.0083987027634386,-0.0984289069959352,0.0105564000484208
60,0.0365564679468818,0.0274269544754176,0.0203455536761555,0.00962374158840502,-0.00216819384451727,-0.0141746490420263,-0.0263043961311152,-0.0300511509531407,-0.0239037322977483,-0.0173018622168417,0.0103605684338991,-0.0213039819110729,-0.0491765155672146,-0.11051572314047,-0.0292714658255617
61,0.0390213871859664,0.00988115394943958,-0.0110811005303637,-0.0356461688423303,-0.0462464983465604,-0.0367617756779572,-0.0196538744191938,-0.017850582959266,-0.0329696273033643,-0.0467954516771172,-0.00935726870082692,-0.0363423242406338,0.0146184175152987,-0.119919362304505,-0.0147632991733215
